စဉ်,နိုင်ငံ,စုစုပေါင်းကူးစက်ဖြစ်စဉ်,ထပ်မံကူးစက်မှုဖြစ်စဉ်,စုစုပေါင်းသေဆုံးမှု,ထပ်မံသေဆုံးမှု,ရောဂါပျောက်ကင်းမှု,လက်ရှိကူးစက်ထားမှု,စိုးရိမ်ရသောအခြေအနေ,ဖြစ်ပွားရာဒေသများ
၉၇,ပီရူး,၆,၁,၀,၀,၀,၆,၀,တောင်အမေရိက
၆၃,နယူးဇီလန်,၅,၀,၀,၀,၀,၅,၀,ဩစတေးလျ
၉၂,ကော်စတာရီကာ,၅,၄,၀,၀,၀,၅,၀,ဗဟိုအမေရိက
၉၃,ပြင်သစ်ဂိုင်ယာနာ,၅,၅,၀,၀,၀,၅,၀,တောင်အမေရိက
၆၆,အာဖကန်နစ္စတန်,၄,၀,၀,၀,၀,၄,၀,အာရှ
၆၉,လူဇင်ဘတ်,၄,၀,၀,၀,၀,၄,၀,ဥရောပ
၆၈,ဆီနီဂေါ,၄,၂,၀,၀,၀,၄,၀,အာဖရိက
၆၉,ဘူဂေးရီးယား,၄,၂,၀,၀,၀,၄,၀,ဥရောပ
၇၀,မြောက်မက်ဆီဒိုးနီးယား,၃,၀,၀,၀,၀,၃,၀,ဥရောပ
၇၁,ဘောစနီးယားနှင့်ဟာဇီဂိုဗီနား,၃,၀,၀,၀,၀,၃,၀,ဥရောပ
၉၆,မော်တာ,၃,၂,၀,၀,၀,၃,၀,ဥရောပ
၇၂,စလိုဗက်ကီးယား,၃,၀,၀,၀,၀,၃,၀,ဥရောပ
၇၈,တောင်အာဖရိက,၃,၁,၀,၀,၀,၃,၀,အာဖရိက
၇၃,ကမ္ဘောဒီးယား,၂,၀,၀,၀,၁,၁,၀,အရှေ့တောင်အာရှ
၇၄,ဒိုမီနီကန်သမ္မတနိုင်ငံ,၂,၀,၀,၀,၀,၂,၀,ကာရေးဘီးယန်း
၈၂,လတ်ဗီးယား,၂,၁,၀,၀,၁,၁,၀,ဘော်တစ်
၇၅,မိုရိုကို,၂,၀,၀,၀,၀,၂,၀,အာဖရိက
၇၆,ကင်မရွန်း,၂,၀,၀,၀,၀,၂,၀,အာဖရိက
၇၇,ဖေးရိုးကျွန်းစု(ဒိန်းမတ်),၂,၀,၀,၀,၂,၀,၀,စကင်ဒီနေးဗီးယန်း
၇၈,မော်ဒိုက်(ကျွန်းစု),၂,၀,၀,၀,၀,၂,၀,အာရှ
၇၉,အန်ဒိုရာ,၁,၁,၀,၀,၀,၁,၀,ဥရောပ
၈၀,အာမေးနီးယား,၁,၀,၀,၀,၀,၁,၀,ဥရောပ
၈၁,ဂျော်ဒန်,၁,၀,၀,၀,၀,၁,၀,အရှေ့အလယ်ပိုင်း
၈၃,လစ်သူရေးနီးယား,၁,၀,၀,၀,၀,၁,၀,ဘော်တစ်
၈၄,မိုနာကို,၁,၀,၀,၀,၀,၁,၀,ဥရောပ
၈၅,နီပေါ,၁,၀,၀,၀,၁,၀,၀,အာရှ
၈၆,နိုင်ဂျီးရီးယား,၁,၀,၀,၀,၀,၁,၀,အာဖရိက
၈၇,သီရိလင်္ကာ,၁,၀,၀,၀,၁,၀,၀,အာရှ
၈၈,တူနီးရှား,၁,၀,၀,၀,၀,၁,၀,အာဖရိက
၈၉,ယူကရိန်း,၁,၀,၀,၀,၀,၁,၀,ဥရောပ
၉၀,ဘူတန်,၁,၀,၀,၀,၀,၁,၀,အာရှ
၉၁,ကိုလံဘီယာ,၁,၀,၀,၀,၀,၁,၀,တောင်အမေရိက
၉၃,ဂီဘရေတာ(ဗြိတိသျှ),၁,၀,၀,၀,၀,၁,၀,ဥရောပ
၉၄,ဗာတီကန်,၁,၀,၀,၀,၀,၁,၀,ဥရောပ
၉၅,လစ်တင်စတိုင်း,၁,၀,၀,၀,၀,၁,၀,ဥရောပ
၉၆,မော်ဒိုဗာ,၁,၁,၀,၀,၀,၁,၀,ဥရောပ
၉၇,ပါရာဂွေး,၁,၁,၀,၀,၀,၁,၀,တောင်အမေရိက
၉၈,ဆားဗီးယား,၁,၁,၀,၀,၀,၁,၀,ဥရောပ
၉၉,တိုဂို,၁,၁,၀,၀,၀,၁,၀,အာဖရိက
